author,message
John Everitt,How Many MORE Of These Highly-Placed; Highly-Paid FOOLS Remain In The Public Service; Knowing That Their Daily Functions DIRECTLY Affect Us Long-Suffering; Ripped-Off Taxpayers .... ? ? ! I Skeem That Given The MANY Examples Of * I Cannot Remember / It Was Not My Fault / I Know-a Naathing; * I Will Try This Repeated Stalingrad-Defence Strategy On The Wife .... And See How I Fare ! At LAST .... After All The Blah: Blah; Blah ! The Instruction DID Come Down From # 1 / Numero Uno ( The President ) .... As We Have; In Truth; ALWAYS Known !
GB,think Adv Seleka will take on the Honourable Minister Brown. Some of the slow treatmnt Adv Myburgh has done this job before doing his Barry White impersonation oh ok@Yolo More - thought Adv Seleka was doing Eskom stream lol ubaba ka Duduzane gotcha @Yolo More thanks Evidence wasted no time cutting to the chase sjoe! more respect for DCJ every day @Naledi Barron 🙂 oh ok @Yolo More thanks Council has done his homework
Elwyn Schenk,"A lot of ducking and diving. Don’t know "Sanjay is right Barry White is done for "No Can’t remember
Ntsikelelo Mgxigxwà,"can you believe it "Msholozi want the chair to recuse himself What happened in Mr.Zuma's time was looting and too much stealing.
Mpho Masemola,mic DCJ got sharp brain
fikile mbokodi,mic
sanele chiliza,the guy was told to let it slide... I didn't know that law is about boring someone to death till they say the truth. I had to google what coy means lol
Andy,😂😂😂😂😂😂 GB you are funny "these mafias are in trouble including big daddy
MIKE DURBAN,Go for it Adv....go for the kill...these bloody thieves have gotta vgo down
FieliesSA,My opinion is that he was paid to change his opinion...
Kumaran Govindsamy,I could have had a bath and changed and they still talking about his strong opinion...”slaps forehead” ANC guide to answer questions at the Zondo commission - I don’t know Put them all in jail...let’s see then how fast they remember @Tommygun know what you mean but I really hate BS
Keith Fallick,"Sorry guys and girls
Sheperd Moyo,"He cant see properly now 
Danile Ngubenyathi,iyoh Mr bomb-ma is on fire adv myburgh makes him an amateur:goodvibes: that's it. they got it Mr president was behind this
vuyelwa mbovane,@ntsikelelo no ways his application will be dismissed ab initio
Chos3nking,Man does not remember anything Ask him what he had for breakfast he will say I dont know His a pro twerker thats why he entertains @Nicolas Cocolas agreed I want these bundles @Magesh Difa he wont remember anything "Fun drinking game @Salty Crack indeed 🤣 @Tay Yes you did See you all tomorrow
Naughty Tlhase,its so hot mapoma is sweating...mandoza 5050
Lucky Thwala,this voice like Mosebenzi Zwane are specially for thieving
TLOU MASOGO,zondo go and ask the chairperson
Makhosini Zwane,@Lucky Thwala mercy
Thabang kola,Bakgalabje ba ke ditsotsi mann
joseph bulane,"they all play ""I can't remember/I don't know'" He's a chairman of the executive...I even doubt his academic qualities lol..talk to me in private he will go straight to she been from there . .chair have a mercy please the man is thirsty
Thamsanqa Nomayela,Gama was dismissed and come back became group CEO instruction from number 1
Nicolas Cocolas,Gosh seemingly everyone being Interviewed have very short memories...
Magesh Difa,i can't wait for the former president to take stand. he will probably tell us about apartheid spys. so all this big cars this guys are driving is. corrupt money.
mandla tshabalala,eish guys can't wait for Judge Makhubela Vs Adv Myburgh:elbowcough::elbowcough::elbowcough: @Yolo More 🙈 can't they swap especially Judge Makhubela was already indicating conflict of interest ok @Yolo
MTWA PRODUCTIONS,SABC I need a job.
Hlagala Masetlale,at least he's moving to a new topic. I am tired of this strong or weak view
Stephen Fani,:shelterin:
Brian,@ Mr K. Not according to Zuma😇 Yes @ Tay WOW! Twice now he's testified that the instruction came from pres Zuma; then he changed this to he was told it came from the Pres; then he changed to it was his opinion? So what is he actually saying?? @ Misizi. Wait til JZ testifies. He'll tell us directly that he was instructed by the Guptas.
Wilson Hishono,Barry Whites voice
Zikie Mahlangu,Lucky Montana is sitting at home awaiting his turn
wandy Zouloe,:elbowcough:
sammy sammido,Nazoo JZ
Enoch Dipela,Zuma era was just characterized by stealing and looting. All those who supported him and still supporting him now are the beneficiaries.....period!
thulani fadashe,owuuu uMsholozi. owuuu uMsholozi.
Thembelani Mbolekwana,LOL 😂😂😂😂😂Gossips and more Gossips
Nherera Karls,Zuma the thief.....
Rahab Takalo,@Enoch dipela very true and ubaba is fingered in all this rot @eddy reddy 😆😆😆😆😆😆 can't wait for the next arrests
Tito 2000,The person in charge of subtitles must be high on something
Eddison Mhlongo,"At one stage I was discussing with my attorney friend 
Lennox Rashopola,Is there any college/university offering corruption courses? Knock off time
Nkululeko Mafuyeka,Appriciate to watch this for a first
Lennon Marks,"yes Lennox why dont they move the commission to lethuli house then they dont have to call or subpoena witnesses
THABELO NETSIANDA,mara why Mr zuma
Msizi Masikane,most of these mentions are assumptions and gossip.. eg. decision came from higher up.. or was told that the president wants this. no one has come here and said i directly got the instruction from Zuma And what will happen if Mr Zuma says he know nothing about this... people were using his name to get things done... @Brian... Zuma will never admit to that All I am saying is that there is no solid solid evident directly linking zuma except hearsay
Uncle Vosho TikiLine,"ANC college
Phakamile Khuzwayo,uyasho but he is also scared I think even former president is scared of guptas
Sammy Tlhapi,Former Pres Zuma acted so reckless as if there was no law nor tomorrow
Bongi Machi,higher up
Barbara Sattler,JZ won't testify.
