author,message
nadia faulmann,"true thing val speirs. lets just have well educated
Eric Belle,Nice voice chair
Kwazi Buthelezi,The issue with the voice will be persistent is it me or the advocate resembles Criselda Kananda
Madoda Oyiya,What’s her name? Evidence leader? 👌🏾 @mathieuw 😂😂😂 🤦🏾‍♂️ I miss Kate Hofmeyer Never
Thulani Bukani,The Ncube part is the easy part! hahaha Love it
Phil Rambau,Devon don't wary we are afriforum amandla ✊✊ eff will humble more people more white who don't like julius .for that people will vote them in power . I don't know what really happened between us and boere we use to b friends and now all things has changed y ? or because eff is talking about land ? but one way or we have to go there and talk about it .forthe sake of are children not so it will stay a pain ....... julius is not going anywere if hes touching nervs then let it b till we face the truth. the problem between us and white is truth about the economi and land . julius s name is in the mouth of lot people ask your self y ?😂😂 in braai in shabin bars offices and in coridoor y y y ????? land is the problem . peace 🙆‍♀️🙆‍♀️🙆‍♀️ @kuse 😂😂😂😂😂😂your balls are gone boss is this Basson the same guy ??????? "mzalwane ...there people who have hatetrete of one another but we can't change it they got it from there parent  glue is dangerous don't smoke it .
Tito 2000,Siegel.. single .. signal .. seger ......Etc
JS Bach,@ma baker 1990
Moffat Segal,I thought evidence is a far relative of me:goodvibes:
Mzalwane Mzala,@Devon Lewis 😃😃 Andile Mngxitama is also calling for people to vote for his party @Zinhle Big Daddy Dee 😀😀 Welcome to all the EFF members and supporters in this chat Number 1! Bayampimpa abelungu @Sithembiso Nyawo 😀😀 Stop the insults. No one is satan @Mfanafuthi Gama Bayampimpa abelungu The evidence leader must relax and not worry about the chair. Go on voting for your parties and we will continue voting for ours. There is a lot of Liberal hatred on these streets I never voted for both parties but I have no doubt that faced with a choice between the DA and the EFF only I would easily vote EFF You are right @ma baker. I would like to see you calling EVERYONE into order. Will John vuligate or will Mbali take it? Running away from you @elton van neel Anoj is in trouble. His name pops up in a number of …... @Anne M. Even SAICA terminated his membership and he did not appeal. Guptarization of all state contracts Brian Molefe
Joe Lekalakala,vote a thief and liar out.!!!
Khaladi Mashumu,Let's not forget that Zondo's brother Mxolisi we will love to see on the hot chair too
Kevin Davis,I am so broke I wish I had been invited to uncle Tony's sheheen in saxonwold bug daddy u are wrong the eff learnt this and especially floyd and julius from all there years with the anc but the two of them have a long way to go before they perfect the looting subject like Jacob I say Cyril is our man our o ly hope that's simple San never he julius will have to serve tea to bossassa employees in prison u have to work ur self to be the senior looter dave reddy changed his name to dave brownie she the investigator speaks beautifully
Mabula Mmifi Molapo,She is a humble lawyer. A rare breed.
Lee D. Hendrix,...Precious metals are devised Commerce .... "....Transnet is a Government entity used to leverage global money-markets "... Billions in USD are evaluated for the minerals taken from the ground in Africa even though the currency value is lessened on the Continent for the minerals ...This is one guy who manipulates the money out of Africa. ...Africa's value to the world's economies is facilitated by people such as this person ...who is not BLACKENED or live in huts without plumbing "....A life insurance policy defines how much a life can be worth monetarily @ Louis C; would you like to buy a bridge too? @ Louis C; would you like to know why Moses only brought 10 Commandments and others provided the remaining Commandments? "@ Mfanafuthi Gama; example 1. ""to love one another""" @ Peter Prentice.... ​Cyril is a poster boy for the British EMPIRE. "...THOSE EXTREMELY MODERN-DAY SCIENTIFIC MINERALS IMPREGNATED IN AFRICA'S GROUND MUST CONTINUE TO MAKE WEALTHY FOREIGN COUNTRIES "​...Did this person notify the policing services before the Commission registered his association in SA's corruption? NO ...Perhaps China will make direct payments to those who contracted COVID19 and not to Governments which failed to provide basic PPE or free education for people to save themselves where possible.
skeetpetegibbs,A crush.....ABC you must be mad I see one of Zuma's wives is sueing him for big bucks in the divorce. I wonder wher he will steal the money to pay her. Magesh....you never had land What is a GENTEMIN
