author,message
Kapn Krunch,ofcourse he has more to tell he is just condemning the small fry but the big dogs who pull the strings wont be named big dogs dont hustle for a few million they are billionaires they seek more then just money they are trying to create a better way of life with a more docile population and look how docile we all are we should be storming government we should be analyzing the documents ourselves and throwing people in prison left right and centre condemning the small fry means nothing they are expendable WE WANT THE MASTERMINDS you know that rhamaphosa got his money from trevor Manuel controlling the government employee funds and investing them through Alexander Forbes the big dogs wont be touched in this charade rhamaphosa didn't steal his money rhamaphosa was given it through a black upliftment program rhamaphosa got his money from trevor Manuel controlling the government employee pension fund and investing it with Alexander Forbes then trevor gave rhamaphosa a share of it that's how he got his money aka rhamaphosa didnt get his money through hard work he got it through a black upliftment program imagine how many other blacks could have been uplifted with that money that's in the billions payments that flowed from Shivambu’s brother Brian to Floyd and the EFF that's evidence right there stop being so ignorant showing the eff benefitted directly from the VBS looting they want you docile they want you inactive they want you to accept corruption do you think this whole show isn't coordinated the people who will get burned from this are expendable it's like the Roman's entertaining people in the Colosseum back at high school my brothers used to say do you know who's the most racist people here its us because we even hate each other😂 our very laws are racist affirmative action
Frik Brits,This channel need moderators for people that swear like @Viewing !! @Anne M. done Everybody is off the topic here Pap and vleis is the best thing for me too.
Awande Mncwabe,am i the only one whose still upset after hearing the clip that was played...i cant believe people are still racist in 2019...i dont get it. is it ever justifiable to be racist on the basis that you grew up in apartheid...as the South Africans do we forgive grizzi for the clip that was played? @Anne M thank you for your response 😊i must of missed that part.
Dan Bourne Yeshurun,@Awande they were kids in apartheid umm he's racist if Agrizzi can be President for being honest.... while being racist its cause and effect blacks never built a system of racism. they were jst included but she's amateur why should a non innocent man be president tho yes @Siba then blacks are called racist after being marginalised. thank you kapn
Andrew Mabele,Aggrizxi should be arrested for acknowledging that he is racist- Vicky momberg will be the case law
Phumlani Lukhele,@vicky ill have two please🍛 @vicky wheres my food bra @Vicky Kgoete bengicela uphuthu nesishebo senkomo...no-ice icream
Gert Marais,Awande this will never stop.
Nicko Opiyo,Why whites are always saying Malema is racists Malema say it as it is
Wildthing,He is bad. But he turned against his own. That is a lot
tumelo seadira,You played the best game Mr Agrizzi. "@Varoyi Agrizzi speaks the honest truth Thank You Mr Agrizzi]
Cheetah Cheetah,pathetically corrupt gov... and sad that eff will be worse..proved it with VBS bank and Zim lookalike plan
MOEKETSI AGRIC HIGH,EFF AND DA THEY GONE USE THIS INQUIRY LIKE NEW RELEASE KWAETO SONG
Emmanuel Phaladi,the guy is a racist
Malusi Varoyi Varoyi,"tumelo "okay brother
Itumeleng Mokoena,Ramaphosa will speak "Those disrupts will be kicked out. That is not their SONA vbs Cele
Legal Asset,the guy is racist but what he has said about ANC officials is hard not to believe. nobody suffers because of private racist rants. Government Corruption affect us all and must be exposed like this
Sibusiso Kekana,been busymisseda we can make all the noise and accusation what we need to be doing is moving toward dwelling on spilled milk like a mother yell at kids won't change this corruption fact. it's there and it's done.
SAM SENATLE,Ramaphosa is confessing at Public Protector's office today (bosasa contract) ANC LOOTED VBS Together with their alliance(SACP&COSATU) Agrizzi is a better thief because he can confess "Eff didn't looted VBS 
Lebo Nyelele,this Watson guy. eish
Sthakathi Khumalo,"Guys "Send your boyfriend a message "Grizzi Grizzi
phemelo mashupe,AGRIzzi just ignore stupid who'speaks about EFF in a bad way
M X O NKOSI,Its interesting how it all unfolds 🌽🥜🍔
Morris Matunde,i am now scared that even my spaza shop will be revealed this agrizzi man man he is fixing the country i like him no sona this year what makes happy is that he is not put him as a clean paper spill... you people you must stop hide your corruption by EFF do u have proof Agrizzi has proof so viewing u hve no point boss axcactly that is y viewing hiding his name h knows that he is in the bosasa list uyindoda Agrizzi cele he is already given a state security he is👍👍👍👍👍👍👍👍 more avidence just pop in now kkkkkkk
Sofia Sofia,I love my boyfriend with all my heart ...in a world wer everything is falling apart I just wanted to say that ! @Ben Cole thanks hun
Ditiro Mawai,EFF didn't loot VBS hao
Ben Leshaba,"@Viewing which facts "@Viewing even if we are from north Africa the fact remain Africa not Europe
vivaz Titus,corruption has to come to an end
Ben Cole,Sofía Sofía... one of the most sane comments of the day.
Sonny Ms,eff is no better they will do ore corruption
siyanda Williams,DA is racist
DJ DJ,just block @david cele Give that man a bells
Phillip Moshapo,ANC is clean
Sakhie Mawisa,agrizzi is on steroids i like it my worry is that wher will the proof of brown envelopes come from
Michael Michael,Cele hw are u doing tody.i wz busy did i miss anything.?? i am doing fine Roharn is about the fitness of two advocate who are also implemented to this commision.they are also criminals they must just go to jail.Jiba and Lawrence. pleasure yes Big thanks to mr Agrizzi
David Moruthane,Let's ask the Government to turn this commision in to the renewed TRC where everyone who has done an injustice to the people can come n confess....
Petrus Mthimkhulu,I warned you about the guys in suits and ties. The most corrupt sobs.
Willie Makena,@DavidCele pls block viewing
Brime Lee,de lille how much did zille pay you to sell the ID book to DA.People who voted ID were made DA without their consent.🤑
Neziswa Ntapane,Pretorious is soo grampy these days but blacks are also racist Agrizzi never said his innocent "well done Agrizzi 
Sendo Sityebi,we busy celebrate very month for getting a notification of 25oooo every mothend kanti there ppl who just get 1oooooooo nje e spacini madoda
Albert Thabang,@Taylor he admitted that he is racist
AB Thebe,Agrizzi worked at Bosasa as a spy believe me Agrizzi still needs more time for more information. Lets give this man a year
Tebza Phiri,Question is will anyone get arrested???
Sanele Madolo,where is that malema who said i will stand by zuma and i will die for my president...
thando cezula,Thank you Mr Agrizzi! I've enjoyed your performance! When can we expect Greatest Hits album?
nicky abrahams,Ben Cole -> Much venting down the dark alleyway. Don't waste your data.
Nellie2 Mkhize,Eish...bangambulali ke nkosi yami... His protection!!!!
Rearabetswe Mgxaji,Thank Agrizzi
Nomonde Maxhaulana,bow out Agrizzisko
Mzalwane Mzala,@Kapn Krunch Which laws are racist?
William Pieters,give him the Bell's factory.
Micca Maraka,Agrizzi banna!! he's done for Now. Who is the next witness?
Jonathan Basckin,zondo for president....but he must sing the anthem.....with that great voice
gadima sekele,"dankie mr Agrizzi
